date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:38	140/140	---M--	200	added ('OK')	text/plain	etag:%228c-5b391680-ea29f70a75b883f6;;;%22	https://blackpoisontattoos.com/robots.txt		(from )
23:53:42	521151/521151	---MCZ	200	added ('OK')	text/html	etag:%22120469-1731695020;gz%22	https://blackpoisontattoos.com/	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/index.html	(from )
23:53:43	1787723/1787723	---MCZ	200	added ('OK')	text/css	etag:%221b474b-6730595e-e9359df52377bf02;gz%22	https://blackpoisontattoos.com/ind/wp-content/litespeed/css/d541e9c655372cdae7bc7a6b40713c35.css?ver=7cbd1	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/ind/wp-content/litespeed/css/d541e9c655372cdae7bc7a6b40713c356a56.css	(from https://blackpoisontattoos.com/)
23:53:43	15072/15072	---M--	200	added ('OK')	font/woff2	etag:%223ae0-6688cd06-2a53f6e6e424dd8e;;;%22	https://blackpoisontattoos.com/ind/wp-content/astra-local-fonts/montserrat/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCu173w5aXo.woff2	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/ind/wp-content/astra-local-fonts/montserrat/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCu173w5aXo.woff2	(from https://blackpoisontattoos.com/)
23:53:43	7632/7632	---M--	200	added ('OK')	font/woff2	etag:%221dd0-6688cd09-d6a68e99205d47d6;;;%22	https://blackpoisontattoos.com/ind/wp-content/astra-local-fonts/poppins/pxiByp8kv8JHgFVrLBT5Z1xlFQ.woff2	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/ind/wp-content/astra-local-fonts/poppins/pxiByp8kv8JHgFVrLBT5Z1xlFQ.woff2	(from https://blackpoisontattoos.com/)
23:53:44	1/1	---M-Z	400	error ('Bad%20Request')	text/html	date:Fri,%2015%20Nov%202024%2018:23:43%20GMT	https://blackpoisontattoos.com/ind/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/ind/wp-admin/admin-ajax.php	(from https://blackpoisontattoos.com/)
23:53:44	0/0	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2018:23:44%20GMT	https://blackpoisontattoos.com/ind/wp-admin/admin-post.php	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/ind/wp-admin/admin-post.php	(from https://blackpoisontattoos.com/)
23:53:45	3304/3304	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22ce8-67372dd4-593772fedecc2527;;;%22	https://blackpoisontattoos.com/ind/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/ind/wp-content/themes/astra/assets/fonts/astra.woff	(from https://blackpoisontattoos.com/)
23:53:45	239153/239153	---MCZ	200	added ('OK')	application/rss+xml	etag:%22f587b399d33a98590a31fae96639ea6e%22	https://blackpoisontattoos.com/feed/	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/feed/index.html	(from https://blackpoisontattoos.com/)
23:53:46	3825/3825	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f587b399d33a98590a31fae96639ea6e%22	https://blackpoisontattoos.com/web-stories/feed/	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/web-stories/feed/index.html	(from https://blackpoisontattoos.com/)
23:53:46	183060/183060	---MCZ	200	added ('OK')	application/json	date:Fri,%2015%20Nov%202024%2018:23:45%20GMT	https://blackpoisontattoos.com/wp-json/wp/v2/pages/28186	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/wp-json/wp/v2/pages/28186.json	(from https://blackpoisontattoos.com/)
23:53:46	1947747/1947747	---MCZ	200	added ('OK')	application/json	etag:%22120470-1731695025;gz%22	https://blackpoisontattoos.com/wp-json/	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/wp-json/index.html	(from https://blackpoisontattoos.com/)
23:53:46	863/863	---M-Z	200	added ('OK')	text/xml	date:Fri,%2015%20Nov%202024%2018:23:46%20GMT	https://blackpoisontattoos.com/ind/xmlrpc.php?rsd	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/ind/xmlrpc0db0.php	(from https://blackpoisontattoos.com/)
23:53:47	2541/2541	---M-Z	200	added ('OK')	application/json	etag:%22120471-1731695026;gz%22	https://blackpoisontattoos.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fblackpoisontattoos.com%2F	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/wp-json/oembed/1.0/embed244a.json	(from https://blackpoisontattoos.com/)
23:53:47	2703/2703	---M-Z	200	added ('OK')	text/xml	etag:%22120472-1731695027;gz%22	https://blackpoisontattoos.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fblackpoisontattoos.com%2F&format=xml	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/wp-json/oembed/1.0/embedee4d	(from https://blackpoisontattoos.com/)
23:53:49	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2018:23:47%20GMT	http://blackpoisontattoos.com/?wordfence_lh=1&hid=E1AD0975E1262BC93DC83F81388976D8	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/indexcbc8.html	(from https://blackpoisontattoos.com/)
